player,ID,Position,Team,Opponent,Game,Injury,min,dkp_floor,dkp,dkp_ceiling,Salary,Value,exclude,lock,count,cap
Sylvia Fowles,9221377,F,MIN,LAS,B,,31,33.07,39.82,47.16,13400,3,Sylvia Fowles,Sylvia Fowles,0,100
Candace Parker,9221379,F,LAS,MIN,B,,30,29.67,36.79,44.57,13100,2.8,Candace Parker,Candace Parker,0,100
Tina Charles,9221381,F,NYL,ATL,A,,30,28.99,35.52,42.65,12200,2.9,Tina Charles,Tina Charles,0,100
Nneka Ogwumike,9221383,F,LAS,MIN,B,,29,26.28,32.52,39.34,11600,2.8,Nneka Ogwumike,Nneka Ogwumike,0,100
Maya Moore,9221385,F,MIN,LAS,B,,35,31.96,39.29,47.24,11300,3.5,Maya Moore,Maya Moore,0,100
Layshia Clarendon,9221387,G,ATL,NYL,A,,31,21.8,25.79,30.14,9500,2.7,Layshia Clarendon,Layshia Clarendon,0,100
Tiffany Hayes,9221389,G,ATL,NYL,A,,25,18.85,23,27.57,8800,2.6,Tiffany Hayes,Tiffany Hayes,0,100
Elizabeth Williams,9221391,F,ATL,NYL,A,,27,18.78,23.19,28.04,8700,2.7,Elizabeth Williams,Elizabeth Williams,0,100
Chelsea Gray,9221393,G,LAS,MIN,B,,31,20.73,25.6,30.89,8400,3,Chelsea Gray,Chelsea Gray,0,100
Rebekkah Brunson,9221395,F,MIN,LAS,B,,32,22.98,28.14,33.75,8300,3.4,Rebekkah Brunson,Rebekkah Brunson,0,100
Brittney Sykes,9221397,G,ATL,NYL,A,,28,21.38,26.29,31.67,8200,3.2,Brittney Sykes,Brittney Sykes,0,100
Sancho Lyttle,9221399,F,ATL,NYL,A,,31,21.38,26.91,32.94,7600,3.5,Sancho Lyttle,Sancho Lyttle,0,100
Shavonte Zellous,9221401,G,NYL,ATL,A,,28,18.56,22.51,26.83,7100,3.2,Shavonte Zellous,Shavonte Zellous,0,100
Seimone Augustus,9221403,G,MIN,LAS,B,,29,18.03,22.28,26.93,6900,3.2,Seimone Augustus,Seimone Augustus,0,100
Epiphanny Prince,9221405,G,NYL,ATL,A,,21,13.83,18,22.64,6300,2.9,Epiphanny Prince,Epiphanny Prince,0,100
Odyssey Sims,9221407,G,LAS,MIN,B,,31,20.26,24.91,29.97,6000,4.2,Odyssey Sims,Odyssey Sims,0,100
Bria Hartley,9221409,G,NYL,ATL,A,,27,15.12,18.55,22.32,5900,3.1,Bria Hartley,Bria Hartley,0,100
Sugar Rodgers,9221411,G,NYL,ATL,A,,22,14.78,18.67,22.97,5600,3.3,Sugar Rodgers,Sugar Rodgers,0,100
Kiah Stokes,9221413,F,NYL,ATL,A,,24,17.66,21.89,26.54,5500,4,Kiah Stokes,Kiah Stokes,0,100
Alana Beard,9221415,G,LAS,MIN,B,,28,13.92,17.14,20.67,5400,3.2,Alana Beard,Alana Beard,0,100
Renee Montgomery,9221417,G,MIN,LAS,B,,30,16.09,22.61,25.87,5200,4.3,Renee Montgomery,Renee Montgomery,0,100
Tamera Young,9221419,G,ATL,NYL,A,,18,10.48,13.15,16.12,4700,2.8,Tamera Young,Tamera Young,0,100
Jantel Lavender,9221421,F,LAS,MIN,B,,19,10.69,14.48,18.7,4500,3.2,Jantel Lavender,Jantel Lavender,0,100
Lindsay Whalen,9221423,G,MIN,LAS,B,O,0,0,0,0,4100,0,Lindsay Whalen,Lindsay Whalen,0,100
Bria Holmes,9221425,G,ATL,NYL,A,,17,9.39,12.19,15.33,4000,3,Bria Holmes,Bria Holmes,0,100
Imani Boyette,9221427,F,ATL,NYL,A,,13,6.95,10.35,14.23,3900,2.7,Imani Boyette,Imani Boyette,0,100
Plenette Pierson,9221429,F,MIN,LAS,B,,13,6.96,9.93,13.3,3800,2.6,Plenette Pierson,Plenette Pierson,0,100
Kia Vaughn,9221431,F,NYL,ATL,A,,14,7.67,10.72,14.18,3700,2.9,Kia Vaughn,Kia Vaughn,0,100
Damiris Dantas,9221433,F,ATL,NYL,A,,10,5.2,7.51,10.19,3600,2.1,Damiris Dantas,Damiris Dantas,0,100
Riquna Williams,9221435,G,LAS,MIN,B,GTD,16,7.07,11.14,15.72,3500,3.2,Riquna Williams,Riquna Williams,0,100
Matee Ajavon,9221437,G,ATL,NYL,A,,7,3.46,5.45,7.83,3400,1.6,Matee Ajavon,Matee Ajavon,0,100
Jia Perkins,9221439,G,MIN,LAS,B,,13,2.63,7.19,13.58,3100,2.3,Jia Perkins,Jia Perkins,0,100
Aneika Morello,9221463,F,ATL,NYL,A,O,0,0,0,0,3000,0,Aneika Morello,Aneika Morello,0,100
Chelsea Hopkins,9221469,G,ATL,NYL,A,,4,0.86,1.89,3.26,3000,0.6,Chelsea Hopkins,Chelsea Hopkins,0,100
Essence Carson,9221447,G,LAS,MIN,B,O,0,0,0,0,3000,0,Essence Carson,Essence Carson,0,100
Maimouna Diarra,9221465,F,LAS,MIN,B,,2,1.08,1.55,2.2,3000,0.5,Maimouna Diarra,Maimouna Diarra,0,100
Sandrine Gruda,9221467,F,LAS,MIN,B,,4,-0.56,1.61,5.03,3000,0.5,Sandrine Gruda,Sandrine Gruda,0,100
Sydney Wiese,9221453,G,LAS,MIN,B,,7,1.75,4.09,6.89,3000,1.4,Sydney Wiese,Sydney Wiese,0,100
Tiffany Jackson-Jones,9221457,F,LAS,MIN,B,,7,1.87,3.57,5.59,3000,1.2,Tiffany Jackson-Jones,Tiffany Jackson-Jones,0,100
Alexis Jones,9221455,G,MIN,LAS,B,,7,2.7,3.68,4.84,3000,1.2,Alexis Jones,Alexis Jones,0,100
Natasha Howard,9221443,F,MIN,LAS,B,,7,1.91,4.26,7.09,3000,1.4,Natasha Howard,Natasha Howard,0,100
Temi Fagbenle,9221461,F,MIN,LAS,B,,3,1.13,1.64,2.32,3000,0.5,Temi Fagbenle,Temi Fagbenle,0,100
Amanda Zahui B.,9221451,F,NYL,ATL,A,,0,0,0,0,3000,0,Amanda Zahui B.,Amanda Zahui B.,0,100
Brittany Boyd,9221459,G,NYL,ATL,A,,16,11.78,17.2,23.58,3000,5.7,Brittany Boyd,Brittany Boyd,0,100
Lindsay Allen,9221445,G,NYL,ATL,A,,13,5.8,7.51,9.46,3000,2.5,Lindsay Allen,Lindsay Allen,0,100
Nayo Raincock-Ekunwe,9221449,F,NYL,ATL,A,,6,3.16,4.67,6.49,3000,1.6,Nayo Raincock-Ekunwe,Nayo Raincock-Ekunwe,0,100
Rebecca Allen,9221441,F,NYL,ATL,A,,10,6.58,9.35,12.57,3000,3.1,Rebecca Allen,Rebecca Allen,0,100
